Season,Episode,Episode Title,Scene,Name,Speaker,House of Speaker,Listener,House of Listener,Interaction,Interaction type,Interaction Score,Interaction Result
Season 1,Episode 1,Winter is Coming,Scene 1,waymar royce,Waymar Royce,Night's Watch,Will,Night's Watch,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Waymar Royce,Night's Watch,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,waymar royce,Waymar Royce,Night's Watch,Will,Night's Watch,How close did you get?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Gared,Night's Watch,Close as any man would.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,We should head back to the wall.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Gared,Night's Watch,Do the dead frighten you?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Will,Night's Watch,You don't think he'll ask us how they died? Get back on your horse.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Royce,Night's Watch,Whatever did it to them could do it to us. They even killed the children.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Royce,Night's Watch,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Will,Night's Watch,Your dead men seem to have moved camp.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Gared,Night's Watch,They were here.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,See where they went.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Gared,Night's Watch,What is it?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,It's …,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,jon snow,Jon Snow,Targaryan,Jon Snow,Targaryan,Go on. Father's watching.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,jon snow,Jon Snow,Targaryan,Septa Mordane,Stark,And your mother.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,septa mordane,Septa Mordane,Stark,Sansa Stark,Stark,"Fine work, as always. Well done.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,sansa stark,Sansa Stark,Stark,Septa Mordane,Stark,Thank you.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,septa mordane,Septa Mordane,Stark,Eddard Stark,Stark,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,jon snow,Jon Snow,Targaryan,Robb Stark,Stark,"Don't think too much, Bran.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,robb stark,Robb Stark,Stark,Jon Snow,Targaryan,Relax your bow arm.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,jon snow,Jon Snow,Targaryan,Robb Stark,Stark,"Quick, Bran!",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,robb stark,Robb Stark,Stark,Captain,Stark,faster!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,Captain,Captain,Stark,Eddard Stark,Stark,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,Get the lads to saddle their horses.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,Do you have to?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,eddard stark,Eddard Stark,Stark,Captain,Stark,"He swore an oath, Cat.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,Captain,Captain,Stark,Eddard Stark,Stark,"The law is law, my lady.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,"Tell Bran he's coming, too.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,Ned. Ten is too young to see such things.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,eddard stark,Eddard Stark,Stark,Robb Stark,Stark,He won't be a boy forever. And winter is coming.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 2,robb stark,Robb Stark,Stark,Bran Stark,Stark,"Lad, go run back and get the rest.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,will,Will,Night's Watch,Will,Night's Watch,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,will,Will,Night's Watch,Eddard Stark,Stark,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Will,Night's Watch,"nods yes, and WILL is positioned on the tree limb that serves as a block.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,will,Will,Night's Watch,Eddard Stark,Stark,"Forgive me, lord.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,"In the name of Robert of the House Baratheon, first of his name …",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Eddard Stark,Stark,Don't look away.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,King of the Andals and the First Men …,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Eddard Stark,Stark,Father will know if you do.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Order,-1,W
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Eddard Stark,Stark,You did well.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Bran Stark,Stark,You understand why I did it?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Eddard Stark,Stark,Jon said he was a deserter.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Bran Stark,Stark,But do you understand why I had to kill him?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Eddard Stark,Stark,Our way is the old way?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Bran Stark,Stark,The man who passes the sentence should swing the sword.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Eddard Stark,Stark,Is it true he saw the White Walkers?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Bran Stark,Stark,The White Walkers have been gone for thousands of years.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Eddard Stark,Stark,So he was lying?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,A madman sees what he sees.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Theon Greyjoy,Greyjoy,What is it?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,theon greyjoy,Theon Greyjoy,Greyjoy,Eddard Stark,Stark,Mountain lion?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Theon Greyjoy,Greyjoy,There are no mountain lions in these woods.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,theon greyjoy,Theon Greyjoy,Greyjoy,Eddard Stark,Stark,It's a freak.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Eddard Stark,Stark,It's a direwolf.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Robb Stark,Stark,Tough old beast.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,robb stark,Robb Stark,Stark,Jon Snow,Targaryan,There are no direwolves south of the Wall.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Jon Snow,Targaryan,Now there are five.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Bran Stark,Stark,You want to hold it?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Captain,Stark,Where will they go? Their mother's dead.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,Captain,Captain,Stark,Eddard Stark,Stark,They don't belong down here.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Theon Greyjoy,Greyjoy,Better a quick death. They won't last without their mother.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,theon greyjoy,Theon Greyjoy,Greyjoy,Bran Stark,Stark,Right. Give it here.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Robb Stark,Stark,NO!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,robb stark,Robb Stark,Stark,Theon Greyjoy,Greyjoy,Put away your blade.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,theon greyjoy,Theon Greyjoy,Greyjoy,Bran Stark,Stark,"I take orders from your father, not you.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Eddard Stark,Stark,"Please, father!",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Jon Snow,Targaryan,"I'm sorry, Bran.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Eddard Stark,Stark,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,eddard stark,Eddard Stark,Stark,Bran Stark,Stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,bran stark,Bran Stark,Stark,Jon Snow,Targaryan,What about you?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,jon snow,Jon Snow,Targaryan,Robb Stark,Stark,I'm not a Stark. Get on.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,robb stark,Robb Stark,Stark,Theon Greyjoy,Greyjoy,What is it?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 3,theon greyjoy,Theon Greyjoy,Greyjoy,Robb Stark,Stark,"The runt of the litter. That one's yours, Snow.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,jaime lannister,Jaime Lannister,Lannister,Cersei Lannister,Lannister,"As your brother, I feel it's my duty to warn you",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,cersei lannister,Cersei Lannister,Lannister,Jaime Lannister,Lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,jaime lannister,Jaime Lannister,Lannister,Cersei Lannister,Lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,cersei lannister,Cersei Lannister,Lannister,Jaime Lannister,Lannister,What if Jon Arryn told someone?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,jaime lannister,Jaime Lannister,Lannister,Cersei Lannister,Lannister,But who would he tell?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,cersei lannister,Cersei Lannister,Lannister,Jaime Lannister,Lannister,My husband.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,jaime lannister,Jaime Lannister,Lannister,Cersei Lannister,Lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,cersei lannister,Cersei Lannister,Lannister,Jaime Lannister,Lannister,You should be the Hand of the king.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 4,jaime lannister,Jaime Lannister,Lannister,Cersei Lannister,Lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,All these years and I still feel like an outsider when I come here.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,You have five northern children. You're not an outsider.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,I wonder if the old gods agree.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,It's your gods with all the rules.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,"I am so sorry, my love.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,Tell me.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Conflict,-1,L
Season 1,Episode 1,Winter is Coming,Scene 5,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,Your sister. The boy …,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Eddard Stark,Stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,"He's coming this far North, there's only one thing he's after.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Catelyn Stark,Stark,"You can always say no, Ned.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Maester Luwin,Stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,maester luwin,Maester Luwin,Stark,Catelyn Stark,Stark,I'm told he drinks all night.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Luwin,Stark,How much could he possibly drink? A man of his … stature.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,luwin,Luwin,Stark,Catelyn Stark,Stark,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Jon Snow,Targaryan,"In any case, candles.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,jon snow,Jon Snow,Targaryan,Theon Greyjoy,Greyjoy,Why's your mother so dead-set on us getting pretty for the king?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,theon greyjoy,Theon Greyjoy,Greyjoy,Robb Stark,Stark,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,robb stark,Robb Stark,Stark,Theon Greyjoy,Greyjoy,I hear the prince is a right royal prick.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,theon greyjoy,Theon Greyjoy,Greyjoy,Robb Stark,Stark,Think of all those southern girls he gets to stab with his right royal prick.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,robb stark,Robb Stark,Stark,Catelyn Stark,Stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Bran Stark,Stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,bran stark,Bran Stark,Stark,Catelyn Stark,Stark,I saw the king! He's got hundreds of people!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Bran Stark,Stark,How many times have I told you,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,bran stark,Bran Stark,Stark,Catelyn Stark,Stark,But he's coming right now! Down our road!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Bran Stark,Stark,I want you to promise me,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,bran stark,Bran Stark,Stark,Catelyn Stark,Stark,I promise.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Bran Stark,Stark,D'you know what?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,bran stark,Bran Stark,Stark,Catelyn Stark,Stark,What?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Catelyn Stark,Stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 5,catelyn stark,Catelyn Stark,Stark,Sansa Stark,Stark,"Where's Arya? Sansa, where's your sister?",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Arya Stark,Stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,arya stark,Arya Stark,Stark,Eddard Stark,Stark,Move!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Robert Baratheon,Baratheon,Your Grace.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Robert Baratheon,Baratheon,You've got fat.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Catelyn Stark,Stark,Cat!,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,catelyn stark,Catelyn Stark,Stark,Robert Baratheon,Baratheon,Your Grace.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Eddard Stark,Stark,Nine years. Why haven't I seen you? Where the hell have you been?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Arya Stark,Stark,"Guarding the North for you, Your Grace. Winterfell is yours.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,arya stark,Arya Stark,Stark,Sansa Stark,Stark,Where's the Imp?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,sansa stark,Sansa Stark,Stark,Robert Baratheon,Baratheon,Will you shut up?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Arya Stark,Stark,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,arya stark,Arya Stark,Stark,Robert Baratheon,Baratheon,Arya.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Arya Stark,Stark,Ooh. Show us your muscles. You'll be a soldier.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,arya stark,Arya Stark,Stark,Sansa Stark,Stark,That's Jaime Lannister. The queen's twin brother.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,sansa stark,Sansa Stark,Stark,Eddard Stark,Stark,Would you please shut up.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Catelyn Stark,Stark,My queen.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,catelyn stark,Catelyn Stark,Stark,Robert Baratheon,Baratheon,My queen.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Cersei Lannister,Lannister,Take me to your crypt. I want to pay my respects.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,cersei lannister,Cersei Lannister,Lannister,Robert Baratheon,Baratheon,"We've been riding for a month, my love. Surely the dead can wait.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Cersei Lannister,Lannister,Ned.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,cersei lannister,Cersei Lannister,Lannister,Eddard Stark,Stark,Where is our brother? Go find the little beast.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Robert Baratheon,Baratheon,Tell me about Jon Arryn.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Eddard Stark,Stark,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Robert Baratheon,Baratheon,We both did.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Eddard Stark,Stark,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Robert Baratheon,Baratheon,Aye.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Eddard Stark,Stark,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,eddard stark,Eddard Stark,Stark,Robert Baratheon,Baratheon,I'm not worthy of the honor.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 6,robert baratheon,Robert Baratheon,Baratheon,Eddard Stark,Stark,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,Mmh. It is true what they say about the Northern girls.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,Did you hear the king's in Winterfell?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,I did hear something about that.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,And the other brother?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,The queen has two brothers?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,There's the pretty one. And there's the clever one.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,I hear they call him the Imp.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,I hear he hates that nickname.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Ros,Winterfell,Clever girl.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,"We've been expecting you, Lord Tyrion.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Tyrion Lannister,Lannister,Have you?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Jaime Lannister,Lannister,The gods gave me one blessing.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,jaime lannister,Jaime Lannister,Lannister,Ros,Winterfell,Don't get up.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,ros,Ros,Winterfell,Tyrion Lannister,Lannister,M'lord.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Jaime Lannister,Lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,jaime lannister,Jaime Lannister,Lannister,Tyrion Lannister,Lannister,"You've much to teach me, no doubt. But our sister craves your attention.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 7,tyrion lannister,Tyrion Lannister,Lannister,Jaime Lannister,Lannister,"She has odd cravings, our sister.",Conversation,1,NA
